Story ID,Epic,Title,User Story,Acceptance Criteria,Status,Priority,Story Points
US-001,EPIC-01: Static Marketing Website,Landing Page,"As a visitor, I want to see an attractive landing page, so that I understand what OPC Europe is and feel compelled to explore further.","Hero section with animated title, subtitle, and CTA buttons; How-it-works section with animated SVG connector lines; Featured tournaments section; Scroll-reveal animations on all content sections; Fully responsive at 1200px, 992px, and 640px breakpoints",Done,Critical,5
US-002,EPIC-01: Static Marketing Website,Tournament Listing Page,"As a visitor, I want to browse a list of tournaments, so that I can find events I might want to attend.","Tournament cards with name, date, location, entry fee, and image; Filter by country and series; Sort by date and price; Responsive grid layout",Done,High,3
US-003,EPIC-01: Static Marketing Website,Rankings Page,"As a visitor, I want to see player rankings, so that I can follow the competitive standings.","Leaderboard table with rank, name, nationality, and points; Responsive table layout; Hover states on rows",Done,High,3
US-004,EPIC-01: Static Marketing Website,Contact Page,"As a visitor, I want to find contact information, so that I can reach out to the organizers.","Contact form layout; Email and social links; Responsive design",Done,Medium,2
US-005,EPIC-01: Static Marketing Website,Privacy Policy Page,"As a visitor, I want to read the privacy policy, so that I understand how my data is handled.","Full privacy policy text content; Consistent header/footer; Readable typography",Done,Medium,1
US-006,EPIC-01: Static Marketing Website,Terms & Conditions Page,"As a visitor, I want to read the terms and conditions, so that I understand the rules before participating.","Full terms text content; Consistent header/footer; Readable typography",Done,Medium,1
US-007,EPIC-01: Static Marketing Website,Responsible Gaming Page,"As a visitor, I want to learn about responsible gaming practices, so that I can play safely.","Responsible gaming content and resources; Consistent header/footer; Readable typography",Done,Medium,1
US-008,EPIC-01: Static Marketing Website,Shared Design System (Static),"As a developer, I want a consistent design system across all static pages, so that the site looks polished and professional.","CSS custom properties for all colors, spacing, and typography; BEM-inspired class naming; Inter font (400-700 weights); Dark theme with #0c0e12 background and #1570ef accent; Reduced-motion media query for all animations",Done,High,5
US-009,EPIC-02: Static Site Deployment & Hosting,Static Site Hosting Setup,"As the product owner, I want the static site deployed to a reliable host, so that visitors can access it globally.","Site deployed and accessible at opc-europe.com; SSL certificate configured; All 8 pages loading correctly",Done,Critical,3
US-010,EPIC-02: Static Site Deployment & Hosting,CDN & Asset Optimization,"As a visitor, I want fast page loads, so that I have a smooth browsing experience.","Static assets served via CDN; Images optimized for web; Fast time-to-first-byte globally",Done,High,2
US-011,EPIC-02: Static Site Deployment & Hosting,DNS & Domain Configuration,"As the product owner, I want a custom domain configured, so that the site has a professional web address.","DNS records pointing to hosting provider; Domain opc-europe.com resolving correctly; WWW redirect configured",Done,High,2
US-012,EPIC-02: Static Site Deployment & Hosting,Static Site Monitoring,"As the product owner, I want basic uptime monitoring, so that I know if the site goes down.","Uptime monitoring configured; Alert notifications set up for downtime",Done,Medium,1
US-013,EPIC-03: Testing Infrastructure,Vitest Unit Test Setup,"As a developer, I want a unit testing framework, so that I can write fast isolated tests for components and utilities.","Vitest 4 configured with React Testing Library; jest-dom matchers available; Test scripts in package.json (test, test:watch); Path aliases working in test environment",Done,Critical,3
US-014,EPIC-03: Testing Infrastructure,MSW API Mocking,"As a developer, I want to mock Supabase API calls in tests, so that tests run without network dependencies.","MSW 2 server configured with Supabase handlers; Auth, tournament, registration, and profile endpoints mocked; Handlers reset between tests",Done,Critical,3
US-015,EPIC-03: Testing Infrastructure,Test Data Factories,"As a developer, I want reusable test data factories, so that I can quickly create test fixtures.","Factory functions for Profile, Tournament, and Registration; Sensible defaults with override capability; Used across all test files",Done,High,2
US-016,EPIC-03: Testing Infrastructure,pgTAP Database Tests,"As a developer, I want to test RLS policies and database functions directly, so that I can verify data security at the database layer.","pgTAP configured via supabase test db; Smoke test verifying setup; Test scripts in package.json",Done,High,2
US-017,EPIC-03: Testing Infrastructure,Playwright E2E Setup,"As a developer, I want end-to-end browser tests, so that I can verify complete user flows.","Playwright configured with test scripts; Base URL and browser settings configured; E2E test directory structure established",Done,High,2
US-018,EPIC-03: Testing Infrastructure,Test Render Helpers,"As a developer, I want shared render helpers, so that component tests have consistent provider wrappers.","renderWithProviders helper wrapping components with necessary context; Suspense boundary handling for useSearchParams; Cleanup between test renders",Done,Medium,1
US-019,EPIC-04: Authentication & User Management,Email/Password Signup,"As a new user, I want to create an account with my email and password, so that I can access the platform.","Signup form with email and password fields; Password validation; Success redirects to verify-email page; Error messages for duplicate email or weak password; Profile auto-created via database trigger",Done,Critical,3
US-020,EPIC-04: Authentication & User Management,Email/Password Login,"As a returning user, I want to log in with my email and password, so that I can access my account.","Login form with email and password fields; Success redirects to dashboard; Error message for invalid credentials; Session cookie set via @supabase/ssr",Done,Critical,3
