Epic ID,Title,Description,Component,Phase,Status,Priority,Start Date,End Date,Story Count
EPIC-01,Static Marketing Website,"Build the public-facing marketing website with 8 pages: landing, tournaments, rankings, contact, privacy, terms, responsible gaming. Dark premium theme with Inter font, CSS custom properties, scroll-reveal animations, and fully responsive design across 3 breakpoints.",Site,Pre-platform,Done,High,2026-01-15,2026-02-01,8
EPIC-02,Static Site Deployment & Hosting,"Deploy the static marketing site to production. Configure custom domain (opc-europe.com), SSL certificate, CDN for assets, and DNS records. Ensure fast load times and global availability.",Site,Pre-platform,Done,High,2026-02-01,2026-02-05,4
EPIC-03,Testing Infrastructure,"Establish a 4-layer testing framework before feature development: Vitest + React Testing Library for unit/integration tests, MSW 2 for API mocking, pgTAP for database/RLS policy testing, and Playwright for end-to-end browser tests.",Platform,Phase 0,Done,Critical,2026-02-05,2026-02-10,6
EPIC-04,Authentication & User Management,"Implement full authentication system with email/password signup and login, Google and Facebook OAuth, email verification, cookie-based session management via @supabase/ssr, and role-based route protection middleware (public, protected, organizer, admin).",Platform,Phase 1,Done,Critical,2026-02-10,2026-02-18,10
EPIC-05,Design System Bridge,"Port the static site's design system to the Next.js platform. Extract CSS custom properties into tokens.css, configure Inter font via next/font, establish globals.css base styles, and ensure visual consistency between the marketing site and the application.",Platform,Phase 1,Done,High,2026-02-10,2026-02-14,4
EPIC-06,Tournament Browsing & Registration,"Build the player-facing tournament experience: browsable tournament listing with filters (country, series), sorting (date, price), pagination, detailed tournament pages with full info, and a multi-state registration button handling 8 different eligibility conditions.",Platform,Phase 2,Done,Critical,2026-02-18,2026-02-25,9
EPIC-07,Player Dashboard,"Create the authenticated player dashboard showing registration stats, upcoming tournament registrations with a two-step cancel flow, and past tournament history. Split upcoming vs. past based on tournament start date.",Platform,Phase 2,Done,High,2026-02-25,2026-02-28,5
EPIC-08,Player Profile & Onboarding,"Build the player profile management page with editable fields (display name, city, country, nationality, bio), avatar upload to Supabase Storage, image preview, and onboarding completion tracking to gate tournament registration.",Platform,Phase 2,Done,High,2026-02-25,2026-02-28,6
EPIC-09,Organizer Tournament Management,"Build organizer tools for tournament lifecycle management: organizer dashboard with tournament list and stats, tournament creation and editing forms, registration management table with status updates (registered/confirmed/cancelled/no_show), and CSV export of registrations.",Platform,Phase 3A,Done,Critical,2026-03-01,2026-03-04,8
EPIC-10,Results Entry & Points System,"Implement tournament results entry and automated points calculation. Build results entry UI for organizers, configurable points brackets (placement-to-points mapping), automatic stats computation via Postgres triggers, and an achievement system with 8 auto-awarded badges.",Platform,Phase 3B,Done,Critical,2026-03-04,2026-03-06,8
EPIC-11,Country Points & Admin Configuration,"Add country-aware points system with per-country multipliers and custom brackets. Build admin UI for managing default points brackets and country configurations. Implement per-country player stats and weighted global rankings.",Platform,Phase 3C,Done,High,2026-03-06,2026-03-07,6
EPIC-12,Public Rankings & Player Profiles,"Build the public leaderboard with search, country filter, pagination, and rank change indicators. Create SEO-friendly player profile pages with auto-generated slugs, stats grids, achievement badges (earned vs. unearned), and paginated tournament history.",Platform,Phase 4,Done,High,2026-03-07,2026-03-08,8
EPIC-13,Identity Verification (Didit),"Integrate Didit v3 API for age verification (18+). Implement redirect-based verification flow with session creation API, webhook handler for status updates (HMAC-SHA256 signature validation), and verification status badges throughout the platform.",Platform,Phase 5,Done,High,2026-03-08,2026-03-09,5
EPIC-14,Admin Panel,"Build the admin panel with dashboard overview (stats and activity feed), user management (search, filter, role changes), organizer invitation system with auto-promote trigger on signup, and tournament oversight with admin-level cancellation.",Platform,Phase 5,Done,High,2026-03-09,2026-03-10,7
EPIC-15,Platform Deployment & Hosting,"Deploy the Next.js platform to production hosting. Configure Supabase project, environment variables, OAuth redirect URIs, Didit webhook endpoints, custom subdomain (app.opc-europe.com), and CI/CD pipeline.",Platform,Cross-phase,Done,Critical,2026-02-10,2026-03-10,5
